	Viewed	Search type	Result type
(40493, 9)	Viewed	Workspace	Results
(44229, 10)	Viewed	Keyword	Results
(26924, 6)	Viewed	Part	Saved
(2016, 3)	Viewed	Workspace	Results
(39340, 12)	Viewed	Part	Results
(12305, 79)	Viewed	Workspace	Results
(21182, 7)	Viewed	Workspace	Results
(27168, 16)	Viewed	Part	Results
(39643, 3)	Viewed	Part	Results
(13664, 13)	Viewed	Keyword	Results
(39278, 13)	Viewed	Workspace	Results
(43501, 2)	Viewed	Workspace	Results
(36989, 4)	Viewed	Workspace	Results
(5595, 2)	Viewed	Part	Results
(197, 14)	Viewed	Workspace	Results
(10040, 5)	Viewed	Keyword	Results
(41089, 23)	Viewed	Part	Results
(16086, 10)	Viewed	Workspace	Results
(5234, 1)	Viewed	Keyword	Results
(44770, 22)	Viewed	Workspace	Saved
(16027, 10)	Viewed	Part	Results
(10697, 5)	Viewed	Workspace	Results
(13107, 12)	Viewed	Keyword	Results
(42969, 9)	Viewed	Workspace	Results
(24803, 36)	Viewed	Keyword	Results
(6040, 3)	Viewed	Keyword	Saved
(46777, 2)	Viewed	Keyword	Results
(41771, 2)	Viewed	Workspace	Saved
(31276, 11)	Viewed	Workspace	Saved
(36103, 18)	Viewed	Workspace	Results
(44275, 25)	Viewed	Workspace	Results
(19891, 9)	Viewed	Workspace	Saved
(38462, 12)	Viewed	Workspace	Results
(27258, 8)	Viewed	Keyword	Results
(912, 4)	Viewed	Part	Results
(38538, 6)	Viewed	Part	Results
(17434, 15)	Viewed	Workspace	Results
(39086, 24)	Viewed	Part	Results
(41181, 16)	Viewed	Part	Results
(38053, 4)	Viewed	Workspace	Results
(46800, 3)	Viewed	Workspace	Saved
(25221, 4)	Viewed	Part	Saved
(46952, 3)	Viewed	Part	Saved
(47569, 2)	Viewed	Keyword	Results
(38998, 16)	Viewed	Part	Results
(34692, 39)	Viewed	Keyword	Results
(29913, 4)	Viewed	Part	Results
(5667, 2)	Viewed	Part	Results
(3586, 4)	Viewed	Keyword	Results
(6097, 77)	Viewed	Part	Saved
(41496, 21)	Viewed	Keyword	Results
(35136, 6)	Viewed	Workspace	Results
(44701, 3)	Viewed	Workspace	Results
(11648, 7)	Viewed	Keyword	Results
(27898, 6)	Viewed	Keyword	Saved
(10381, 5)	Viewed	Workspace	Results
(1591, 2)	Viewed	Part	Results
